5,1,20,5,5,"__init__@24-28@src/wepy/reporter/wexplore/image.py","src/wepy/reporter/wexplore/image.py","__init__","__init__( self , init_image = None , image_atom_idxs = None , json_topology = None , ** kwargs )",24,28
10,2,81,2,21,"init@75-95@src/wepy/reporter/wexplore/image.py","src/wepy/reporter/wexplore/image.py","init","init( self , ** kwargs )",75,95
2,1,16,4,2,"report@97-98@src/wepy/reporter/wexplore/image.py","src/wepy/reporter/wexplore/image.py","report","report( self , cycle_idx = None , resampler_data = None , ** kwargs )",97,98
4,1,18,5,4,"__init__@47-50@src/wepy/reporter/wexplore/dashboard.py","src/wepy/reporter/wexplore/dashboard.py","__init__","__init__( self , resampler = None , max_n_regions = None , max_region_sizes = None , ** kwargs",47,50
8,3,59,2,12,"_leaf_regions_to_all_regions@94-105@src/wepy/reporter/wexplore/dashboard.py","src/wepy/reporter/wexplore/dashboard.py","_leaf_regions_to_all_regions","_leaf_regions_to_all_regions( self , region_ids )",94,105
41,13,327,2,81,"update_values@108-188@src/wepy/reporter/wexplore/dashboard.py","src/wepy/reporter/wexplore/dashboard.py","update_values","update_values( self , ** kwargs )",108,188
46,6,329,2,61,"gen_fields@191-251@src/wepy/reporter/wexplore/dashboard.py","src/wepy/reporter/wexplore/dashboard.py","gen_fields","gen_fields( self , ** kwargs )",191,251
2,1,17,2,3,"__init__@38-40@src/wepy/reporter/receptor/dashboard.py","src/wepy/reporter/receptor/dashboard.py","__init__","__init__( self , ** kwargs )",38,40
9,1,48,2,31,"gen_fields@43-73@src/wepy/reporter/receptor/dashboard.py","src/wepy/reporter/receptor/dashboard.py","gen_fields","gen_fields( self , ** kwargs )",43,73
3,1,16,4,3,"__init__@84-86@src/wepy/reporter/receptor/dashboard.py","src/wepy/reporter/receptor/dashboard.py","__init__","__init__( self , bc = None , cutoff_distance = None , ** kwargs )",84,86
9,1,47,2,13,"gen_fields@103-115@src/wepy/reporter/receptor/dashboard.py","src/wepy/reporter/receptor/dashboard.py","gen_fields","gen_fields( self , ** kwargs )",103,115
3,1,16,4,3,"__init__@124-126@src/wepy/reporter/receptor/dashboard.py","src/wepy/reporter/receptor/dashboard.py","__init__","__init__( self , bc = None , cutoff_rmsd = None , ** kwargs )",124,126
