5,1,20,5,5,"__init__@24-28@src/wepy/reporter/wexplore/image.py","src/wepy/reporter/wexplore/image.py","__init__","__init__( self , init_image = None , image_atom_idxs = None , json_topology = None , ** kwargs )",24,28
10,2,81,2,21,"init@75-95@src/wepy/reporter/wexplore/image.py","src/wepy/reporter/wexplore/image.py","init","init( self , ** kwargs )",75,95
2,1,16,4,2,"report@97-98@src/wepy/reporter/wexplore/image.py","src/wepy/reporter/wexplore/image.py","report","report( self , cycle_idx = None , resampler_data = None , ** kwargs )",97,98
6,1,22,6,6,"__init__@47-52@src/wepy/reporter/wexplore/dashboard.py","src/wepy/reporter/wexplore/dashboard.py","__init__","__init__( self , step_time = None , max_n_regions = None , max_region_sizes = None , bc_cutoff_distance = None , ** kwargs",47,52
43,13,326,4,99,"_update_resampler_values@106-204@src/wepy/reporter/wexplore/dashboard.py","src/wepy/reporter/wexplore/dashboard.py","_update_resampler_values","_update_resampler_values( self , cycle_idx , resampling_data , resampler_data )",106,204
9,1,63,1,12,"_walker_table_string@206-217@src/wepy/reporter/wexplore/dashboard.py","src/wepy/reporter/wexplore/dashboard.py","_walker_table_string","_walker_table_string( self )",206,217
8,3,60,2,22,"leaf_regions_to_all_regions@221-242@src/wepy/reporter/wexplore/dashboard.py","src/wepy/reporter/wexplore/dashboard.py","leaf_regions_to_all_regions","leaf_regions_to_all_regions( self , region_ids )",221,242
26,5,235,1,37,"_resampler_string@244-280@src/wepy/reporter/wexplore/dashboard.py","src/wepy/reporter/wexplore/dashboard.py","_resampler_string","_resampler_string( self )",244,280
7,1,26,7,7,"__init__@34-40@src/wepy/reporter/revo/dashboard.py","src/wepy/reporter/revo/dashboard.py","__init__","__init__( self , dist_exponent = None , merge_dist = None , char_dist = None , step_time = None , bc_cutoff_distance = None , ** kwargs",34,40
20,5,173,4,45,"_update_resampler_values@89-133@src/wepy/reporter/revo/dashboard.py","src/wepy/reporter/revo/dashboard.py","_update_resampler_values","_update_resampler_values( self , cycle_idx , resampling_data , resampler_data )",89,133
14,1,75,1,16,"_resampler_string@135-150@src/wepy/reporter/revo/dashboard.py","src/wepy/reporter/revo/dashboard.py","_resampler_string","_resampler_string( self )",135,150
